partID;Q_GesichtAlltag;Q_GesichtBilder;Q_TextAlltag;Q_TextBilder;Q_ExploAlltag;Q_ExploBilder
dk001;4;2;4;5;4;5
dk002;4;4;3;3;4;4
dk003;4;4;5;5;4;4
dk004;4;4;4;5;3;2
dk005;5;3;5;4;5;3
dk006;5;4;4;5;3;4
dk007;3;5;4;3;4;3
dk008;5;5;5;5;4;3
dk009;4;5;4;4;4;4
dk010;4;4;3;3;3;5
dk011;4;4;5;5;3;4
dk012;3;2;4;4;2;4
dk013;4;4;4;3;5;3
dk014;4;4;3;4;3;3
dk015;4;5;4;4;4;5
dk016;5;4;4;4;4;5
dk017;5;4;3;4;4;3
dk018;4;5;5;5;4;4
dk019;4;4;4;2;5;5
dk020;5;4;3;3;5;5
dk021;5;4;3;5;3;3
dk022;3;3;5;3;4;4
